tenure1,tenure2,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility
8,5,100,3.67259787,0.474496,7.47331,1.702650988,873.96,10771.95,2528543775,40919539.72
8,6,100,3.82325031,0.59312,8.896797,1.812627011,875.23,11229.62,2644688430,39564726.68
8,7,100,4.0083037,0.355872,7.710558,1.910768488,876.79,12141.12,2858914360,37224724.31
8,8,100,4.3724792,0.355872,9.134045,2.084368104,879.86,12873.96,3028112734,34825489
8,9,100,4.4543298,0.237248,9.371293,2.119287078,880.55,13453.66,3163612152,33465737.21
8,10,100,4.66666667,0.355872,9.252669,1.937870952,882.34,14169.36,3327118790,31936794.94
8,11,100,4.8588375,0.711744,9.489917,2.009505618,883.96,15017.87,3508249113,30150401.85
8,12,100,5.0794781,0.711744,9.489917,2.009821053,885.82,15746.64,3660252385,28911983.69
8,13,100,5.27876636,1.660735,9.845789,1.825024832,887.5,16191.45,3741758884,27779801.03
8,14,100,5.25029657,0.830368,10.438909,1.933053393,887.26,16852.77,3871922461,26801584.32
8,15,100,5.38315541,0.59312,9.845789,1.834601094,888.38,17533.93,4000336382,25821797.13
9,1,100,3.4412811,0,7.829181,1.925012644,872.01,8051.21,1786863268,50122421.96
9,2,100,3.11269272,0,7.947805,1.695892318,869.24,9003.07,2046107705,47127251.05
9,3,100,3.30130487,0.237248,8.778173,1.728429499,870.83,9883.98,2276441941,44497484.78
9,4,100,3.4911032,0.237248,7.710558,1.626337375,872.43,10365.11,2405522726,42867763.14
9,5,100,3.63938313,0.237248,7.591934,1.824509178,873.68,10966.08,2559490855,40336760.95
9,6,100,3.69632263,0.355872,7.354686,1.642379989,874.16,11554.48,2701460239,38800642.17
9,7,100,3.89679713,0.237248,8.185053,1.720625819,875.85,12295.29,2878710177,36646276.34
9,8,100,4.15539737,0.237248,8.896797,1.878445832,878.03,12790.11,2992091702,35883536.47
9,9,100,4.36654808,0.237248,9.015421,1.980635566,879.81,13866.82,3230925512,32121574.07
9,10,100,4.68564651,0.711744,9.489917,2.058670302,882.5,14278.59,3329502840,31321370.01
9,11,100,4.61803089,0.59312,9.489917,2.058722504,881.93,15077.81,3502247641,30062367.91
9,12,100,4.85646498,0.59312,9.489917,1.916304152,883.94,15610.66,3613478200,29141117.47
9,13,100,4.93119812,0.237248,9.845789,1.896429246,884.57,16234.53,3737138548,27538359.53
9,14,100,5.08422303,0.474496,9.489917,1.92194784,885.86,17030.4,3892118156,26528538.7
9,15,100,5.1886121,0.237248,9.845789,2.004456014,886.74,17475.69,3968146372,25923088.19
10,1,100,3.22657173,0,7.829181,1.985889216,870.2,8039.95,1767297530,52073271.05
10,2,100,3.14946616,0,8.659549,1.882747876,869.55,9086.19,2054995383,46673309.28
10,3,100,2.99762754,0.118624,7.710558,1.678938986,868.27,10165.21,2329207077,43970218.22
10,4,100,3.13404504,0.237248,7.829181,1.766747735,869.42,10852.14,2502178225,42253715.79
10,5,100,3.28825624,0.237248,6.998814,1.761905995,870.72,11526.3,2671177924,39368266.38
10,6,100,3.65717667,0,10.438909,1.849207238,873.83,11646.04,2709266510,39153799.18
10,7,100,3.92526686,0.59312,8.540925,1.846441169,876.09,12554.15,2921477416,36708244.42
10,8,100,4.22064056,0.237248,8.422301,1.788576253,878.58,12790.2,2975850707,35489504.93
10,9,100,4.24555162,0.355872,9.252669,1.85275804,878.79,13527.36,3143357875,34166239.35
10,10,100,4.4341637,0.355872,9.489917,1.896768299,880.38,14726.04,3407037914,30899285.97
10,11,100,4.6227758,0.474496,9.845789,1.920648387,881.97,15050.49,3477669553,30556743.53
10,12,100,4.81020167,0.59312,9.489917,1.888476808,883.55,15820.41,3644689172,28811623.45
10,13,100,4.91340458,1.542112,9.489917,1.756662544,884.42,16017.41,3675661389,28073059.46
10,14,100,4.96678529,0.237248,9.489917,1.993437009,884.87,16976.27,3871039838,26711921.34
10,15,100,5.18979837,0.237248,9.845789,1.887498078,886.75,17554.47,3980419381,25769523.57
11,1,100,3.23368913,0,7.947805,1.909601978,870.26,7949.11,1737633736,50528561.29
11,2,100,2.88018976,0,7.354686,1.73998797,867.28,9266.64,2078554617,47327986.82
11,3,100,2.77935946,0,7.591934,1.75359119,866.43,9723.54,2209970876,45280889.74
11,4,100,3.03202842,0.237248,8.066429,1.672277013,868.56,10620.8,2435549636,42897940.29
11,5,100,3.2099644,0.355872,6.998814,1.657207263,870.06,11406.77,2627616807,40317407.77
11,6,100,3.52787659,0.237248,8.185053,1.73200834,872.74,11814.45,2730691049,38461576.27
11,7,100,3.68208783,0,7.591934,1.760844055,874.04,12611.39,2920789697,36970614.03
11,8,100,3.71767494,0.237248,7.591934,1.701673949,874.34,13196.33,3058416136,34700991.96
11,9,100,4.14827996,0.237248,9.252669,1.915535243,877.97,13669.54,3163508378,33400049.09
11,10,100,4.24673791,0.237248,9.252669,1.971666673,878.8,14261.33,3288114885,32162786.27
11,11,100,4.47212337,0.711744,8.778173,1.844623909,880.7,15212.16,3492424161,29730059.95
11,12,100,4.48517205,0.59312,9.845789,1.971860947,880.81,15762.68,3612199356,29051481.41
11,13,100,4.74614473,0.355872,9.134045,1.81667187,883.01,16056.72,3671466105,28406242.37
11,14,100,4.77817324,0.830368,9.845789,1.870455337,883.28,16641.48,3785275671,27187661.15
11,15,100,5.10557535,0.711744,9.964413,1.840799518,886.04,17383.65,3921985784,25636819.87
12,1,100,3.1826809,0,8.659549,1.937858869,869.83,7804.49,1696042446,52397063.28
12,2,100,2.79715296,0,6.88019,1.676594371,866.58,9062.77,2018781016,48699975.38
12,3,100,2.76986948,0.118624,7.710558,1.654679853,866.35,10160,2300791200,44631112.55
12,4,100,3.15183864,0,7.591934,1.771413871,869.57,10804.2,2467265208,42262973.12
12,5,100,2.97864769,0,7.947805,1.796245751,868.11,11501.95,2637048300,40222415.84
12,6,100,3.4234875,0.237248,8.303677,1.773159401,871.86,11757.52,2702769429,38820009.82
12,7,100,3.65243183,0.237248,7.236062,1.579521096,873.79,12548.52,2893634555,36833998.54
12,8,100,3.77935943,0.118624,9.608541,1.966253944,874.86,12970.95,2995807286,35354700.75
12,9,100,3.94661921,0.237248,9.015421,1.846422593,876.27,13632.99,3144851422,33818140.36
12,10,100,4.13404506,0.237248,8.422301,1.968374802,877.85,14471.16,3328386535,31628147.31
12,11,100,4.32147099,0.118624,9.134045,2.001449654,879.43,14723.58,3378831730,30825745.57
12,12,100,4.47212337,0.474496,8.540925,1.901088757,880.7,15871.26,3615822751,28148478.87
12,13,100,4.70699884,0.237248,8.540925,1.827856042,882.68,16143.35,3671766012,27656547.51
12,14,100,4.87900356,1.067616,8.540925,1.94310344,884.13,16644,3766817675,26948904.61
12,15,100,5.05693951,0.948992,9.845789,1.959855723,885.63,17076.24,3850715583,26294232.95
13,1,100,3.06880187,0,7.710558,1.940175233,868.87,8036.67,1730968421,51905598.09
13,2,100,2.62514826,0,7.117438,1.726174734,865.13,9269.05,2055753559,47743192.95
13,3,100,2.7402135,0,6.642942,1.670506476,866.1,10059.59,2262374937,45133948.32
13,4,100,2.64531439,0,6.405694,1.654776447,865.3,10780.61,2445708412,42421635.95
13,5,100,3.12218269,0.237248,8.422301,1.85049997,869.32,11407.95,2603791419,39773221.4
13,6,100,3.18505337,0.237248,8.303677,1.765475757,869.85,11932.48,2730956603,38201122.63
13,7,100,3.4911032,0.237248,7.947805,1.735012187,872.43,12494.33,2867804918,36825427.24
13,8,100,3.65836299,0.355872,7.829181,1.707719035,873.84,13051.23,2998813257,35493792.53
13,9,100,3.73190983,0.355872,8.422301,1.73944389,874.46,13892.73,3193576484,32948317.9
13,10,100,4.05693948,0.355872,7.829181,1.818353696,877.2,14290.32,3277830522,32267592.05
13,11,100,4.15539739,0.237248,8.066429,1.819717572,878.03,14890.37,3405324340,30680869.12
13,12,100,4.32384346,0.474496,9.845789,1.933255979,879.45,15629.6,3565500384,29845275.75
13,13,100,4.71174375,0.355872,9.845789,2.049229776,882.72,16324.76,3700588905,28005539.6
13,14,100,4.85765126,0.474496,9.845789,2.113578494,883.95,16688.63,3775004360,27019248.15
13,15,100,4.92289447,0.237248,9.845789,1.875116924,884.5,17099.52,3841384572,26073595.98
14,1,100,3.17319097,0,9.252669,1.850768419,869.75,7876.18,1685987337,53698942.34
14,2,100,2.52669038,0,7.354686,1.801745136,864.3,9223.57,2032787885,47455134.83
14,3,100,2.76393833,0,7.591934,1.79605618,866.3,9932.24,2223329952,45547833.58
