tenure1,tenure2,runs,mean_gap,min_gap,median_gap,std_gap,mean_iterations,mean_candidates,mean_feasibility,file
13,9,100,3.18292681,0.243902,3.170732,1.076834716,27157.68,1687014860,27638656.1,E100_1000.1_r50_lk_ts_t13_t9_ite10.res
14,10,100,3.07926829,0.121951,3.04878,1.222019442,28453.4,1730005904,26347287.37,E100_1000.1_r50_lk_ts_t14_t10_ite10.res
14,11,100,3.345122,0.243902,3.292683,1.192891937,30080.89,1791284793,25006408.6,E100_1000.1_r50_lk_ts_t14_t11_ite10.res
14,12,100,3.41341464,0,3.292683,1.35760358,31360.09,1835965780,24223446.77,E100_1000.1_r50_lk_ts_t14_t12_ite10.res
14,13,100,3.55975613,0.731707,3.597561,1.325374974,33631.99,1926193671,23562859.68,E100_1000.1_r50_lk_ts_t14_t13_ite10.res
14,14,100,3.8085366,0.121951,3.780488,1.456093112,35611.53,1989267358,22666960.5,E100_1000.1_r50_lk_ts_t14_t14_ite10.res
14,15,100,3.97926828,0.731707,3.902439,1.394196898,37098.84,2039256269,22112587.76,E100_1000.1_r50_lk_ts_t14_t15_ite10.res
14,16,100,4.12560976,0.97561,4.02439,1.510399448,37889.12,2044283596,21786733.98,E100_1000.1_r50_lk_ts_t14_t16_ite10.res
14,17,100,4.12317077,1.097561,4.0853655,1.370291499,39226.2,2060305411,21157246.47,E100_1000.1_r50_lk_ts_t14_t17_ite10.res
14,18,53,4.194661774,1.219512,4.02439,1.515327572,40268.60377,2065881208,20536840.68,E100_1000.1_r50_lk_ts_t14_t18_ite10.res
14,1,100,3.2280488,1.097561,3.292683,0.8485318882,13605.54,886367712.6,51446818.69,E100_1000.1_r50_lk_ts_t14_t1_ite10.res
14,2,100,2.89024391,0.731707,2.804878,0.9333511683,15730.38,1036266298,43176492.54,E100_1000.1_r50_lk_ts_t14_t2_ite10.res
14,3,100,2.76951219,0.121951,2.8658535,0.9906294991,18109.59,1193197550,38447014.99,E100_1000.1_r50_lk_ts_t14_t3_ite10.res
14,4,100,2.55243904,0.121951,2.6219515,1.017405836,18977.8,1246518253,35295274.27,E100_1000.1_r50_lk_ts_t14_t4_ite10.res
14,5,100,2.75243901,0.121951,2.804878,1.094649278,20812.88,1354787105,33055671.01,E100_1000.1_r50_lk_ts_t14_t5_ite10.res
14,6,100,2.65731705,0,2.7439025,1.023887833,22057.23,1423396703,31859674.3,E100_1000.1_r50_lk_ts_t14_t6_ite10.res
14,7,100,2.84146339,0.731707,2.926829,1.00331741,23712.13,1510854893,29697511.72,E100_1000.1_r50_lk_ts_t14_t7_ite10.res
14,8,100,2.84634145,0.365854,2.926829,1.087899182,25546.56,1602207480,28494181.51,E100_1000.1_r50_lk_ts_t14_t8_ite10.res
14,9,100,2.99512196,0.121951,3.04878,1.087360557,27269.51,1684170105,26934481.25,E100_1000.1_r50_lk_ts_t14_t9_ite10.res
16,10,100,3.24634147,0.731707,3.2317075,1.121160953,28383.62,1704423774,25655132.56,E100_1000.1_r50_lk_ts_t16_t10_ite10.res
16,11,100,3.51341464,0.731707,3.536585,1.30008467,30424.65,1794790966,24650142.14,E100_1000.1_r50_lk_ts_t16_t11_ite10.res
16,12,100,3.32804878,0.609756,3.414634,1.294944149,31328.72,1821396348,24042972.02,E100_1000.1_r50_lk_ts_t16_t12_ite10.res
16,13,100,3.55731707,0.731707,3.414634,1.346443647,33355.94,1897609496,23649136.7,E100_1000.1_r50_lk_ts_t16_t13_ite10.res
16,14,100,4.01829269,0.853659,4.02439,1.394274418,35298.67,1955979934,22515987.29,E100_1000.1_r50_lk_ts_t16_t14_ite10.res
16,15,100,3.87560977,0.243902,3.8414635,1.471050534,35995.36,1950975767,22080103.4,E100_1000.1_r50_lk_ts_t16_t15_ite10.res
16,16,100,4.08170733,1.097561,4.0853655,1.426450209,38603.14,2036773589,21074556.85,E100_1000.1_r50_lk_ts_t16_t16_ite10.res
16,17,100,4.32439028,1.097561,4.3292685,1.489504225,39511.49,2049962752,20705961.88,E100_1000.1_r50_lk_ts_t16_t17_ite10.res
16,18,100,4.24024391,1.097561,4.268293,1.418042493,41048.06,2080913823,20036844.53,E100_1000.1_r50_lk_ts_t16_t18_ite10.res
